Bulan,Hari,Hari_Minggu,Quarter,Is_Weekend,Is_Akhir_Bulan,Is_Awal_Bulan,Hari_Dari_Awal_Bulan,Total_Transaksi,Rata_Nominal,Frekuensi_Per_Hari,Durasi_Aktif_Hari,Rata_Interval_Hari,Jumlah_Terlambat,Persentase_Terlambat,Is_TopUp,Is_QRIS,Is_Transfer,Prop_TopUp,Prop_QRIS,Prop_Transfer,Aktivitas_Bulan_Ini,Aktivitas_Quarter_Ini,Nominal_Transaksi,Warga_ID
2,10,0,1,0,0,0,10,54,72342.72222222222,1.8,29,0.2264150943396226,32,59.25925925925925,1,0,0,0.2962962962962963,0.2777777777777778,0.4259259259259259,34,54,32637,153
1,23,3,1,0,0,0,23,50,75810.38,1.7241379310344829,28,0.2244897959183673,32,64.0,0,1,0,0.28,0.22,0.5,26,50,5813,102
1,29,2,1,0,1,0,29,54,78759.70370370371,1.862068965517241,28,0.2075471698113207,35,64.81481481481481,0,0,1,0.3518518518518518,0.3333333333333333,0.3148148148148148,30,54,26121,123
2,4,1,1,0,0,1,4,69,79858.11594202899,2.225806451612903,30,0.1617647058823529,49,71.01449275362319,0,1,0,0.2898550724637681,0.2608695652173913,0.4492753623188406,38,69,122303,97
1,20,0,1,0,0,0,20,54,85915.5,1.8,29,0.2075471698113207,36,66.66666666666666,0,1,0,0.2592592592592592,0.3518518518518518,0.3888888888888889,28,54,106105,33
1,17,4,1,0,0,0,17,57,79412.77192982456,1.8387096774193548,30,0.3035714285714285,48,84.21052631578947,0,1,0,0.2631578947368421,0.4035087719298245,0.3333333333333333,41,57,15201,147
2,10,0,1,0,0,0,10,70,78215.6,2.2580645161290325,30,0.1014492753623188,46,65.71428571428571,1,0,0,0.3571428571428571,0.3428571428571428,0.3,33,70,93367,99
2,14,4,1,0,0,0,14,71,78849.94366197183,2.290322580645161,30,0.1285714285714285,52,73.23943661971832,0,0,1,0.352112676056338,0.2816901408450704,0.3661971830985915,33,71,92871,0
1,24,4,1,0,0,0,24,72,72058.77777777778,2.3225806451612905,30,0.1126760563380281,58,80.55555555555556,0,0,1,0.2083333333333333,0.3888888888888889,0.4027777777777778,44,72,103440,54
2,9,6,1,1,0,0,9,76,74611.46052631579,2.533333333333333,29,0.12,59,77.63157894736842,0,0,1,0.3289473684210526,0.3026315789473684,0.3684210526315789,30,76,52877,65
1,27,0,1,0,1,0,27,53,79268.7924528302,1.7666666666666666,29,0.2115384615384615,38,71.69811320754717,0,1,0,0.2830188679245283,0.4716981132075472,0.2452830188679245,29,53,86006,28
1,17,4,1,0,0,0,17,66,78560.72727272728,2.129032258064516,30,0.1384615384615384,47,71.21212121212122,1,0,0,0.2575757575757575,0.2727272727272727,0.4696969696969697,36,66,112320,140
1,17,4,1,0,0,0,17,63,77526.61904761905,2.032258064516129,30,0.1451612903225806,42,66.66666666666666,0,1,0,0.3174603174603174,0.3015873015873015,0.3809523809523809,34,63,93493,91
1,23,3,1,0,0,0,23,56,82653.05357142857,1.8064516129032255,30,0.1818181818181818,43,76.78571428571429,0,1,0,0.2678571428571428,0.3928571428571428,0.3392857142857143,33,56,39245,135
1,17,4,1,0,0,0,17,58,74250.20689655172,1.870967741935484,30,0.2105263157894736,38,65.51724137931035,0,1,0,0.4310344827586206,0.293103448275862,0.2758620689655172,23,58,27838,80
2,7,4,1,0,0,1,7,74,80449.27027027027,2.3870967741935485,30,0.0958904109589041,57,77.02702702702703,1,0,0,0.3648648648648648,0.3243243243243243,0.3108108108108108,30,74,101746,22
1,17,4,1,0,0,0,17,72,76903.09722222222,2.3225806451612905,30,0.1408450704225352,58,80.55555555555556,1,0,0,0.4027777777777778,0.2777777777777778,0.3194444444444444,47,72,93865,1
2,12,2,1,0,0,0,12,73,76357.49315068492,2.3548387096774195,30,0.1388888888888889,56,76.71232876712328,0,1,0,0.3561643835616438,0.2465753424657534,0.3972602739726027,30,73,64369,69
2,4,1,1,0,0,1,4,60,72167.25,1.935483870967742,30,0.2203389830508474,36,60.0,0,1,0,0.2666666666666666,0.2666666666666666,0.4666666666666667,37,60,95263,151
1,26,6,1,1,1,0,26,67,82550.25373134328,2.161290322580645,30,0.1363636363636363,43,64.17910447761194,0,1,0,0.3432835820895522,0.2686567164179104,0.3880597014925373,34,67,47987,64
2,9,6,1,1,0,0,9,63,62425.69841269841,2.032258064516129,30,0.2258064516129032,48,76.19047619047619,1,0,0,0.3174603174603174,0.2222222222222222,0.4603174603174603,24,63,45632,128
2,1,5,1,1,0,1,1,54,79844.62962962964,1.8,29,0.2264150943396226,34,62.96296296296296,1,0,0,0.2592592592592592,0.3148148148148148,0.4259259259259259,25,54,82900,72
1,17,4,1,0,0,0,17,61,75237.72131147541,2.033333333333333,29,0.15,43,70.49180327868852,0,0,1,0.2459016393442623,0.3442622950819672,0.4098360655737705,33,61,111361,118
1,28,1,1,0,1,0,28,55,86186.81818181818,1.7741935483870968,30,0.2962962962962963,40,72.72727272727273,0,1,0,0.3454545454545454,0.3636363636363636,0.2909090909090909,25,55,128151,116
