Bulan,Hari,Hari_Minggu,Quarter,Is_Weekend,Is_Akhir_Bulan,Is_Awal_Bulan,Hari_Dari_Awal_Bulan,Total_Transaksi,Rata_Nominal,Frekuensi_Per_Hari,Durasi_Aktif_Hari,Rata_Interval_Hari,Jumlah_Terlambat,Persentase_Terlambat,Is_TopUp,Is_QRIS,Is_Transfer,Prop_TopUp,Prop_QRIS,Prop_Transfer,Aktivitas_Bulan_Ini,Aktivitas_Quarter_Ini,Nominal_Transaksi,Warga_ID
1,17,4,1,0,0,0,17,63,89782.12698412698,2.032258064516129,30,0.1774193548387097,50,79.36507936507937,0,1,0,0.3174603174603174,0.2539682539682539,0.4285714285714285,34,63,74440,107
1,31,4,1,0,1,0,31,76,69190.38157894737,2.4516129032258065,30,0.0933333333333333,58,76.31578947368422,0,0,1,0.3552631578947368,0.3026315789473684,0.3421052631578947,48,76,89669,12
1,29,2,1,0,1,0,29,67,82550.25373134328,2.161290322580645,30,0.1363636363636363,43,64.17910447761194,0,1,0,0.3432835820895522,0.2686567164179104,0.3880597014925373,34,67,5813,64
1,20,0,1,0,0,0,20,56,82653.05357142857,1.8064516129032255,30,0.1818181818181818,43,76.78571428571429,0,1,0,0.2678571428571428,0.3928571428571428,0.3392857142857143,33,56,28098,135
1,29,2,1,0,1,0,29,66,81451.12121212122,2.129032258064516,30,0.1692307692307692,44,66.66666666666666,0,1,0,0.2272727272727272,0.3939393939393939,0.3787878787878788,34,66,86062,51
1,27,0,1,0,1,0,27,55,86186.81818181818,1.7741935483870968,30,0.2962962962962963,40,72.72727272727273,0,1,0,0.3454545454545454,0.3636363636363636,0.2909090909090909,25,55,103461,116
2,14,4,1,0,0,0,14,68,75258.5294117647,2.2666666666666666,29,0.1641791044776119,39,57.35294117647059,0,0,1,0.3235294117647059,0.2794117647058823,0.3970588235294117,35,68,94475,66
2,16,6,1,1,0,0,16,52,77223.46153846153,1.6774193548387095,30,0.1568627450980392,32,61.53846153846154,1,0,0,0.2692307692307692,0.3461538461538461,0.3846153846153846,30,52,128739,89
1,22,2,1,0,0,0,22,58,71203.24137931035,1.870967741935484,30,0.1929824561403508,44,75.86206896551724,1,0,0,0.2241379310344827,0.3103448275862069,0.4655172413793103,35,58,130194,58
2,1,5,1,1,0,1,1,59,74900.98305084746,1.903225806451613,30,0.1896551724137931,46,77.96610169491525,1,0,0,0.3728813559322034,0.2203389830508474,0.4067796610169492,21,59,58916,43
2,14,4,1,0,0,0,14,69,76791.42028985507,2.225806451612903,30,0.1470588235294117,53,76.81159420289855,0,0,1,0.3043478260869565,0.2318840579710145,0.463768115942029,29,69,14106,84
1,20,0,1,0,0,0,20,54,74409.14814814815,1.7419354838709675,30,0.2452830188679245,34,62.96296296296296,0,0,1,0.2777777777777778,0.2222222222222222,0.5,26,54,100997,77
1,17,4,1,0,0,0,17,51,74266.01960784313,1.7,29,0.22,33,64.70588235294117,0,1,0,0.196078431372549,0.392156862745098,0.4117647058823529,23,51,21340,74
1,17,4,1,0,0,0,17,52,71443.07692307692,1.6774193548387095,30,0.2745098039215686,36,69.23076923076923,0,0,1,0.25,0.2692307692307692,0.4807692307692308,26,52,146024,70
2,4,1,1,0,0,1,4,53,80305.09433962264,1.7096774193548387,30,0.25,34,64.15094339622641,0,0,1,0.2452830188679245,0.2452830188679245,0.5094339622641509,32,53,69968,36
2,14,4,1,0,0,0,14,58,81769.31034482758,1.870967741935484,30,0.2456140350877192,42,72.41379310344827,0,0,1,0.396551724137931,0.293103448275862,0.3103448275862069,20,58,84867,6
2,13,3,1,0,0,0,13,59,76676.37288135593,1.903225806451613,30,0.2413793103448276,48,81.35593220338984,0,0,1,0.3559322033898305,0.3050847457627119,0.3389830508474576,23,59,20645,90
1,29,2,1,0,1,0,29,42,85286.35714285714,1.5,27,0.2926829268292683,27,64.28571428571429,0,1,0,0.2857142857142857,0.3333333333333333,0.3809523809523809,21,42,114200,101
2,12,2,1,0,0,0,12,67,72386.26865671642,2.161290322580645,30,0.1515151515151515,45,67.16417910447761,0,1,0,0.2537313432835821,0.4328358208955223,0.3134328358208955,36,67,80628,4
2,13,3,1,0,0,0,13,78,80801.30769230769,2.5161290322580645,30,0.1038961038961039,61,78.2051282051282,1,0,0,0.3076923076923077,0.3076923076923077,0.3846153846153846,27,78,75016,152
2,2,6,1,1,0,1,2,78,80801.30769230769,2.5161290322580645,30,0.1038961038961039,61,78.2051282051282,1,0,0,0.3076923076923077,0.3076923076923077,0.3846153846153846,27,78,65733,152
2,14,4,1,0,0,0,14,73,76357.49315068492,2.3548387096774195,30,0.1388888888888889,56,76.71232876712328,0,0,1,0.3561643835616438,0.2465753424657534,0.3972602739726027,30,73,81620,69
1,17,4,1,0,0,0,17,72,76903.09722222222,2.3225806451612905,30,0.1408450704225352,58,80.55555555555556,0,0,1,0.4027777777777778,0.2777777777777778,0.3194444444444444,47,72,8969,1
1,17,4,1,0,0,0,17,66,73845.54545454546,2.2,29,0.1846153846153846,47,71.21212121212122,0,0,1,0.3484848484848485,0.3939393939393939,0.2575757575757575,38,66,135611,57
1,25,5,1,1,1,0,25,67,74637.6119402985,2.161290322580645,30,0.1515151515151515,48,71.64179104477611,0,0,1,0.3432835820895522,0.3283582089552239,0.3283582089552239,41,67,97348,50
1,23,3,1,0,0,0,23,58,81769.31034482758,1.870967741935484,30,0.2456140350877192,42,72.41379310344827,1,0,0,0.396551724137931,0.293103448275862,0.3103448275862069,38,58,71910,6
2,16,6,1,1,0,0,16,52,71443.07692307692,1.6774193548387095,30,0.2745098039215686,36,69.23076923076923,1,0,0,0.25,0.2692307692307692,0.4807692307692308,26,52,53020,70
1,17,4,1,0,0,0,17,57,73486.52631578948,1.8387096774193548,30,0.2142857142857142,41,71.9298245614035,0,1,0,0.3157894736842105,0.2982456140350877,0.3859649122807017,26,57,5813,18
1,20,0,1,0,0,0,20,46,82479.36956521739,1.5333333333333334,29,0.2666666666666666,31,67.3913043478261,0,0,1,0.3478260869565217,0.3695652173913043,0.2826086956521739,18,46,105130,15
1,30,3,1,0,1,0,30,51,80145.09803921569,1.6451612903225807,30,0.24,33,64.70588235294117,0,1,0,0.2941176470588235,0.2549019607843137,0.4509803921568627,22,51,5882,45
1,17,4,1,0,0,0,17,70,78546.9,2.2580645161290325,30,0.1739130434782608,51,72.85714285714285,0,0,1,0.3285714285714285,0.3714285714285714,0.3,41,70,115127,111
2,13,3,1,0,0,0,13,67,75586.05970149254,2.2333333333333334,29,0.1363636363636363,43,64.17910447761194,0,0,1,0.3283582089552239,0.3134328358208955,0.3582089552238806,37,67,114319,96
1,27,0,1,0,1,0,27,57,73224.66666666667,1.8387096774193548,30,0.2857142857142857,40,70.17543859649122,0,1,0,0.2280701754385964,0.4210526315789473,0.3508771929824561,34,57,47311,113
2,6,3,1,0,0,1,6,58,81521.27586206897,1.870967741935484,30,0.2105263157894736,43,74.13793103448276,1,0,0,0.3448275862068966,0.3448275862068966,0.3103448275862069,29,58,118645,119
2,4,1,1,0,0,1,4,48,69831.35416666667,1.6,29,0.2340425531914893,35,72.91666666666666,1,0,0,0.3541666666666667,0.2708333333333333,0.375,22,48,103256,117
2,15,5,1,1,0,0,15,66,75103.9696969697,2.129032258064516,30,0.2,50,75.75757575757575,1,0,0,0.3181818181818182,0.2424242424242424,0.4393939393939394,28,66,56033,125
1,26,6,1,1,1,0,26,50,75810.38,1.7241379310344829,28,0.2244897959183673,32,64.0,0,0,1,0.28,0.22,0.5,26,50,96047,102
1,20,0,1,0,0,0,20,67,72386.26865671642,2.161290322580645,30,0.1515151515151515,45,67.16417910447761,0,0,1,0.2537313432835821,0.4328358208955223,0.3134328358208955,31,67,51257,4
2,7,4,1,0,0,1,7,70,70587.97142857143,2.2580645161290325,30,0.1304347826086956,53,75.71428571428571,0,1,0,0.3,0.2285714285714285,0.4714285714285714,31,70,82346,75
2,1,5,1,1,0,1,1,67,72386.26865671642,2.161290322580645,30,0.1515151515151515,45,67.16417910447761,0,0,1,0.2537313432835821,0.4328358208955223,0.3134328358208955,36,67,57713,4
2,9,6,1,1,0,0,9,49,65514.755102040814,1.5806451612903225,30,0.25,39,79.59183673469387,1,0,0,0.3673469387755102,0.3265306122448979,0.3061224489795918,19,49,60108,138
1,24,4,1,0,0,0,24,73,68633.69863013699,2.433333333333333,29,0.1388888888888889,55,75.34246575342466,1,0,0,0.4383561643835616,0.2602739726027397,0.3013698630136986,43,73,61426,134
2,5,2,1,0,0,1,5,43,72201.25581395348,1.3870967741935485,30,0.3095238095238095,33,76.74418604651163,0,1,0,0.2558139534883721,0.4186046511627907,0.3255813953488372,18,43,100116,109
1,20,0,1,0,0,0,20,71,74518.38028169014,2.3666666666666667,29,0.1285714285714285,51,71.83098591549296,0,1,0,0.3661971830985915,0.2816901408450704,0.352112676056338,40,71,49817,71
1,25,5,1,1,1,0,25,51,86736.05882352941,1.7,29,0.2,32,62.74509803921568,0,0,1,0.3333333333333333,0.2745098039215686,0.392156862745098,17,51,5496,142
2,6,3,1,0,0,1,6,52,81050.57692307692,1.7333333333333334,29,0.2549019607843137,32,61.53846153846154,0,1,0,0.4230769230769231,0.2307692307692307,0.3461538461538461,30,52,69344,95
2,13,3,1,0,0,0,13,81,75187.81481481482,2.6129032258064515,30,0.1,61,75.30864197530865,0,1,0,0.2592592592592592,0.3209876543209876,0.419753086419753,31,81,90793,78
1,27,0,1,0,1,0,27,55,76856.56363636363,1.7741935483870968,30,0.1666666666666666,39,70.9090909090909,0,0,1,0.2727272727272727,0.3818181818181818,0.3454545454545454,27,55,48695,82
1,23,3,1,0,0,0,23,71,77796.04225352113,2.290322580645161,30,0.1714285714285714,56,78.87323943661971,0,0,1,0.352112676056338,0.2957746478873239,0.352112676056338,45,71,99816,131
1,30,3,1,0,1,0,30,76,69190.38157894737,2.4516129032258065,30,0.0933333333333333,58,76.31578947368422,1,0,0,0.3552631578947368,0.3026315789473684,0.3421052631578947,48,76,72999,12
1,17,4,1,0,0,0,17,55,82175.23636363636,1.7741935483870968,30,0.1481481481481481,31,56.36363636363636,0,0,1,0.3272727272727272,0.3636363636363636,0.3090909090909091,21,55,149776,79
2,2,6,1,1,0,1,2,50,72482.62,1.6129032258064515,30,0.2857142857142857,34,68.0,1,0,0,0.32,0.26,0.42,19,50,43958,127
1,26,6,1,1,1,0,26,52,77223.46153846153,1.6774193548387095,30,0.1568627450980392,32,61.53846153846154,0,0,1,0.2692307692307692,0.3461538461538461,0.3846153846153846,22,52,72699,89
2,4,1,1,0,0,1,4,71,81095.8309859155,2.3666666666666667,29,0.1428571428571428,49,69.01408450704226,0,0,1,0.2676056338028169,0.323943661971831,0.4084507042253521,34,71,29904,31
2,13,3,1,0,0,0,13,71,76121.07042253521,2.290322580645161,30,0.1142857142857142,51,71.83098591549296,0,0,1,0.380281690140845,0.2394366197183098,0.380281690140845,35,71,99542,150
1,28,1,1,0,1,0,28,42,65207.26190476191,1.3548387096774193,30,0.3414634146341463,24,57.14285714285714,0,0,1,0.3571428571428571,0.2619047619047619,0.3809523809523809,19,42,28200,9
1,24,4,1,0,0,0,24,63,76894.44444444444,2.032258064516129,30,0.1129032258064516,48,76.19047619047619,0,0,1,0.4603174603174603,0.2222222222222222,0.3174603174603174,35,63,66102,83
2,2,6,1,1,0,1,2,63,77633.57142857143,2.032258064516129,30,0.2096774193548387,46,73.01587301587301,0,0,1,0.365079365079365,0.3174603174603174,0.3174603174603174,23,63,54903,137
2,13,3,1,0,0,0,13,73,76357.49315068492,2.3548387096774195,30,0.1388888888888889,56,76.71232876712328,1,0,0,0.3561643835616438,0.2465753424657534,0.3972602739726027,30,73,57322,69
2,12,2,1,0,0,0,12,51,74266.01960784313,1.7,29,0.22,33,64.70588235294117,0,0,1,0.196078431372549,0.392156862745098,0.4117647058823529,28,51,88387,74
1,17,4,1,0,0,0,17,70,78215.6,2.2580645161290325,30,0.1014492753623188,46,65.71428571428571,0,1,0,0.3571428571428571,0.3428571428571428,0.3,37,70,31950,99
1,29,2,1,0,1,0,29,44,79229.65909090909,1.4193548387096775,30,0.3023255813953488,34,77.27272727272727,0,1,0,0.2045454545454545,0.4545454545454545,0.3409090909090909,19,44,68090,148
2,15,5,1,1,0,0,15,71,81095.8309859155,2.3666666666666667,29,0.1428571428571428,49,69.01408450704226,0,0,1,0.2676056338028169,0.323943661971831,0.4084507042253521,34,71,75398,31
1,18,5,1,1,0,0,18,55,78891.27272727272,1.8333333333333333,29,0.1666666666666666,37,67.27272727272727,0,0,1,0.2545454545454545,0.3636363636363636,0.3818181818181818,22,55,66644,41
1,24,4,1,0,0,0,24,65,80379.27692307692,2.096774193548387,30,0.21875,56,86.15384615384616,0,1,0,0.3846153846153846,0.3846153846153846,0.2307692307692307,45,65,72261,73
1,17,4,1,0,0,0,17,66,74875.89393939394,2.129032258064516,30,0.1384615384615384,46,69.6969696969697,0,0,1,0.303030303030303,0.3939393939393939,0.303030303030303,39,66,93150,37
2,13,3,1,0,0,0,13,74,79566.16216216216,2.3870967741935485,30,0.136986301369863,58,78.37837837837837,0,1,0,0.3648648648648648,0.3108108108108108,0.3243243243243243,24,74,51481,104
1,21,1,1,0,0,0,21,55,77483.32727272727,1.7741935483870968,30,0.2407407407407407,43,78.18181818181819,0,0,1,0.4363636363636363,0.2545454545454545,0.3090909090909091,32,55,43817,35
1,20,0,1,0,0,0,20,66,81451.12121212122,2.129032258064516,30,0.1692307692307692,44,66.66666666666666,1,0,0,0.2272727272727272,0.3939393939393939,0.3787878787878788,34,66,95522,51
2,2,6,1,1,0,1,2,65,80119.83076923077,2.096774193548387,30,0.125,40,61.53846153846154,0,0,1,0.3230769230769231,0.1846153846153846,0.4923076923076923,37,65,125911,13
2,5,2,1,0,0,1,5,60,78390.91666666667,2.0,29,0.1525423728813559,39,65.0,0,1,0,0.2,0.3166666666666666,0.4833333333333333,31,60,33736,105
1,20,0,1,0,0,0,20,73,74804.8904109589,2.3548387096774195,30,0.125,46,63.013698630136986,0,1,0,0.2328767123287671,0.2602739726027397,0.5068493150684932,37,73,143750,24
2,9,6,1,1,0,0,9,71,78849.94366197183,2.290322580645161,30,0.1285714285714285,52,73.23943661971832,1,0,0,0.352112676056338,0.2816901408450704,0.3661971830985915,33,71,35638,0
2,16,6,1,1,0,0,16,71,78849.94366197183,2.290322580645161,30,0.1285714285714285,52,73.23943661971832,1,0,0,0.352112676056338,0.2816901408450704,0.3661971830985915,33,71,109550,0
2,11,1,1,0,0,0,11,49,65514.755102040814,1.5806451612903225,30,0.25,39,79.59183673469387,0,1,0,0.3673469387755102,0.3265306122448979,0.3061224489795918,19,49,75581,138
1,17,4,1,0,0,0,17,76,69190.38157894737,2.4516129032258065,30,0.0933333333333333,58,76.31578947368422,0,1,0,0.3552631578947368,0.3026315789473684,0.3421052631578947,48,76,27381,12
2,1,5,1,1,0,1,1,67,75586.05970149254,2.2333333333333334,29,0.1363636363636363,43,64.17910447761194,0,0,1,0.3283582089552239,0.3134328358208955,0.3582089552238806,37,67,40325,96
1,22,2,1,0,0,0,22,67,72386.26865671642,2.161290322580645,30,0.1515151515151515,45,67.16417910447761,0,1,0,0.2537313432835821,0.4328358208955223,0.3134328358208955,31,67,35218,4
1,29,2,1,0,1,0,29,49,75838.59183673469,1.6896551724137931,28,0.2083333333333333,35,71.42857142857143,0,0,1,0.2653061224489796,0.2448979591836734,0.4897959183673469,26,49,50311,27
