Feature,Importance
Is_Awal_Bulan,0.39456928
Hari_Dari_Awal_Bulan,0.22365108
Hari,0.14964929
Is_Akhir_Bulan,0.10187472
Is_Weekend,0.07381255
Hari_Minggu,0.03393136
Bulan,0.012419379
Persentase_Terlambat,0.0066618198
Jumlah_Terlambat,0.0019029366
Aktivitas_Bulan_Ini,0.00044449136
Aktivitas_Quarter_Ini,0.00019120345
Rata_Interval_Hari,0.00017381631
Prop_Transfer,0.00016875149
Total_Transaksi,0.00015897141
Prop_QRIS,0.00014030411
Frekuensi_Per_Hari,0.00013263867
Durasi_Aktif_Hari,9.8912686e-05
Prop_TopUp,1.3433278e-05
Rata_Nominal,3.2936698e-06
Is_TopUp,6.506807e-07
Nominal_Transaksi,4.6276463e-07
Is_Transfer,3.273537e-07
Is_QRIS,3.2173025e-07
Quarter,0.0
