Feature,Importance
Hari,0.4536030387654341
Hari_Dari_Awal_Bulan,0.4138571867885885
Hari_Minggu,0.03894800175296803
Is_Weekend,0.034248854894971856
Is_Akhir_Bulan,0.03087771173068057
Persentase_Terlambat,0.02845364608605456
Prop_TopUp,5.603189238494573e-06
Rata_Interval_Hari,2.7904025846856165e-06
Prop_QRIS,1.897401473254235e-06
Total_Transaksi,2.69472513747331e-07
Durasi_Aktif_Hari,2.5875773147017666e-07
Jumlah_Terlambat,2.165842492906155e-07
Aktivitas_Quarter_Ini,1.5107941796616715e-07
Frekuensi_Per_Hari,1.453730129325251e-07
Prop_Transfer,1.382982541646702e-07
Aktivitas_Bulan_Ini,4.1158017827356834e-08
Rata_Nominal,3.422717326062151e-08
Nominal_Transaksi,7.912774670809602e-09
Is_TopUp,5.951915837840074e-09
Is_Awal_Bulan,1.729003171595026e-10
Is_Transfer,4.429645189895775e-14
Quarter,0.0
Bulan,0.0
Is_QRIS,0.0
